"Subject" "Activity" "Variable" "Measurements"
"1" 1 "WALKING" "tBodyAccmeanX" 0.277330758736842
"2" 2 "WALKING" "tBodyAccmeanX" 0.276426586440678
"3" 3 "WALKING" "tBodyAccmeanX" 0.275567462068966
"4" 4 "WALKING" "tBodyAccmeanX" 0.278582015166667
"5" 5 "WALKING" "tBodyAccmeanX" 0.27784234625
"6" 6 "WALKING" "tBodyAccmeanX" 0.283658868070175
"7" 7 "WALKING" "tBodyAccmeanX" 0.275592961754386
"8" 8 "WALKING" "tBodyAccmeanX" 0.27468631
"9" 9 "WALKING" "tBodyAccmeanX" 0.278502842115385
"10" 10 "WALKING" "tBodyAccmeanX" 0.278574076603774
"11" 11 "WALKING" "tBodyAccmeanX" 0.271821892881356
"12" 12 "WALKING" "tBodyAccmeanX" 0.2771286656
"13" 13 "WALKING" "tBodyAccmeanX" 0.275883130350877
"14" 14 "WALKING" "tBodyAccmeanX" 0.271959598644068
"15" 15 "WALKING" "tBodyAccmeanX" 0.273899207962963
"16" 16 "WALKING" "tBodyAccmeanX" 0.276023564509804
"17" 17 "WALKING" "tBodyAccmeanX" 0.272341855245902
"18" 18 "WALKING" "tBodyAccmeanX" 0.273887758571429
"19" 19 "WALKING" "tBodyAccmeanX" 0.273931172307692
"20" 20 "WALKING" "tBodyAccmeanX" 0.272589336470588
"21" 21 "WALKING" "tBodyAccmeanX" 0.279183526730769
"22" 22 "WALKING" "tBodyAccmeanX" 0.27886459
"23" 23 "WALKING" "tBodyAccmeanX" 0.273211884237288
"24" 24 "WALKING" "tBodyAccmeanX" 0.276980816034483
"25" 25 "WALKING" "tBodyAccmeanX" 0.278992759054054
"26" 26 "WALKING" "tBodyAccmeanX" 0.279264443728814
"27" 27 "WALKING" "tBodyAccmeanX" 0.276849485438596
"28" 28 "WALKING" "tBodyAccmeanX" 0.281228223888889
"29" 29 "WALKING" "tBodyAccmeanX" 0.271999916792453
"30" 30 "WALKING" "tBodyAccmeanX" 0.276406758
"31" 1 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.255461689622641
"32" 2 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.247164790395833
"33" 3 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.260819873067797
"34" 4 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.270876696730769
"35" 5 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.268459469914894
"36" 6 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.268229355098039
"37" 7 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.248706923078431
"38" 8 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.258880152048781
"39" 9 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.262436475714286
"40" 10 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.267121853404255
"41" 11 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.263775859277778
"42" 12 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.272970338653846
"43" 13 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.258203939581818
"44" 14 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.26242106612963
"45" 15 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.270187595833333
"46" 16 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.255986102627451
"47" 17 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.252604768583333
"48" 18 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265401201896552
"49" 19 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.242118808925
"50" 20 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.252098317156863
"51" 21 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265194544680851
"52" 22 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.248391534566667
"53" 23 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.249995171031373
"54" 24 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.269881106779661
"55" 25 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.277995411384615
"56" 26 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.272691394545455
"57" 27 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265770253921569
"58" 28 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.262005841764706
"59" 29 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265423066877551
"60" 30 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.271415642261538
"61" 1 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.289188320408163
"62" 2 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.27761534806383
"63" 3 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.292423484693878
"64" 4 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.279965329555556
"65" 5 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.29354392712766
"66" 6 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.277045258145833
"67" 7 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.28030708
"68" 8 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.283484089210526
"69" 9 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.295923445
"70" 10 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.290401594315789
"71" 11 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.291605631956522
"72" 12 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.281521097391304
"73" 13 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.294907553404255
"74" 14 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.293422115555556
"75" 15 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.280198851190476
"76" 16 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.295586802191489
"77" 17 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.29391828326087
"78" 18 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.288439468909091
"79" 19 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.262688053871795
"80" 20 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.296144421355556
"81" 21 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.3014610196
"82" 22 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.284458963861111
"83" 23 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.289897411148148
"84" 24 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.288631208909091
"85" 25 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.291329666206897
"86" 26 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.2792845828
"87" 27 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.2975441875
"88" 28 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.293642076521739
"89" 29 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.293140441083333
"90" 30 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.283190646967742
"91" 1 "SITTING" "tBodyAccmeanX" 0.261237565425532
"92" 2 "SITTING" "tBodyAccmeanX" 0.27708735173913
"93" 3 "SITTING" "tBodyAccmeanX" 0.257197599134615
"94" 4 "SITTING" "tBodyAccmeanX" 0.27153827992
"95" 5 "SITTING" "tBodyAccmeanX" 0.273694139545455
"96" 6 "SITTING" "tBodyAccmeanX" 0.276778487454545
"97" 7 "SITTING" "tBodyAccmeanX" 0.284674637291667
"98" 8 "SITTING" "tBodyAccmeanX" 0.267491472934783
"99" 9 "SITTING" "tBodyAccmeanX" 0.24832674354
"100" 10 "SITTING" "tBodyAccmeanX" 0.270612056481481
"101" 11 "SITTING" "tBodyAccmeanX" 0.276590197358491
"102" 12 "SITTING" "tBodyAccmeanX" 0.275007224901961
"103" 13 "SITTING" "tBodyAccmeanX" 0.274328499591837
"104" 14 "SITTING" "tBodyAccmeanX" 0.279990577037037
"105" 15 "SITTING" "tBodyAccmeanX" 0.27290337979661
"106" 16 "SITTING" "tBodyAccmeanX" 0.280768574492754
"107" 17 "SITTING" "tBodyAccmeanX" 0.2773570196875
"108" 18 "SITTING" "tBodyAccmeanX" 0.27727001877193
"109" 19 "SITTING" "tBodyAccmeanX" 0.273830316164384
"110" 20 "SITTING" "tBodyAccmeanX" 0.278045439090909
"111" 21 "SITTING" "tBodyAccmeanX" 0.277539616823529
"112" 22 "SITTING" "tBodyAccmeanX" 0.273583822709677
"113" 23 "SITTING" "tBodyAccmeanX" 0.273351251617647
"114" 24 "SITTING" "tBodyAccmeanX" 0.273475690147059
"115" 25 "SITTING" "tBodyAccmeanX" 0.278541482461538
"116" 26 "SITTING" "tBodyAccmeanX" 0.258243530166667
"117" 27 "SITTING" "tBodyAccmeanX" 0.273941302571429
"118" 28 "SITTING" "tBodyAccmeanX" 0.276977629444444
"119" 29 "SITTING" "tBodyAccmeanX" 0.2771799775
"120" 30 "SITTING" "tBodyAccmeanX" 0.268336081379032
"121" 1 "STANDING" "tBodyAccmeanX" 0.278917629056604
"122" 2 "STANDING" "tBodyAccmeanX" 0.277911472222222
